Category IDActive (0/1Name *                     Parent category       Root category (0Description                                               Meta title                                      Meta keywords             Meta description       URL rewritten         Image URL                        
                     1Archerie                   Home                                 0Découvrez tous les accessoires indispensable de l'archer !Découvrez tous les accessoires indispensable de                                                  archerie              
                     1Filets de protection       Archerie                             0Ecrans de protection pour le tir à l'arc                  Ecrans de protection pour le tir à l'arc                                                         filets-de-protection  categories/filets.jpg            
                     1Autour de la cible         Archerie                             0Solutions de protection pour les cibles de tir à l'arc    Solutions de protection pour les cibles de tir à                                                 protection-cibles-tir-categories/autourdelacible.jpg   
                     1Loisirs                    Archerie                             0Produits loisirs                                          Produits loisirs                                                                                 produits-loisirs      categories/loisirs.jpg           
                     1Filets brise vent & brise vArcherie                             0Filets brise vent et brise vue                            Filets brise vent et brise vue                                                                   filets-brise-vent     
                     1Equipements de l'archer    Home                                 0Retrouvez ici tous l'équipement de l'archer               Retrouvez ici tous l'équipement de l'archer                                                      equipements-archer    
                     1Accessoires                Equipements de l'arche               0Accessoires de protection pour la bras et la poitrine     Accessoires de protection pour la bras et la poi                                                 accessoires-de-protectcategories/accessoires.jpg       
                     1Vetements                  Equipements de l'arche               0Vetements techniques pour le tir à l'arc                  Vetements techniques pour le tir à l'arc                                                         Vetements-techiques   categories/vetements.jpg         
