"Product ID*";"Attribute (Name:Type:Position)*";"Value (Value:Position)*";"Supplier reference";"Reference";"EAN13";"UPC";"Wholesale price";"Impact on price";"Ecotax";"Quantity";"Minimal quantity";"Impact on weight";"Default (0 = No, 1 = Yes)";"Combination available date";"Image position";"Image URL";"Delete existing images (0 = No, 1 = Yes)";"ID / Name of shop";"Advanced Stock Managment";"Depends on stock";"Warehouse"
10;"Hauteur:select:0#Longueur:select:1#Couleur:select:7";"2.70m:0#18m:1#Blanc:2";;"TA_192718";;;;;;0;;0;0;;0;;0;0;0;0;
10;"Hauteur:select:0#Longueur:select:1#Couleur:select:7";"2.70m:0#20m:1#Blanc:2";;"TA_192720";;;;;;0;;0;0;;0;;0;0;0;0;
10;"Hauteur:select:0#Longueur:select:1#Couleur:select:8";"2.70m:0#25m:1#Blanc:2";;"TA_192725";;;;;;0;;0;0;;0;;0;0;0;0;
10;"Hauteur:select:0#Longueur:select:1#Couleur:select:8";"3.20m:0#xm:1#Blanc:2";;"TA_193200";;;;;;0;;0;0;;0;;0;0;0;0;
10;"Hauteur:select:0#Longueur:select:1#Couleur:select:9";"3.20m:0#3m:1#Blanc:2";;"TA_193203";;;;;;0;;0;0;;0;;0;0;0;0;
10;"Hauteur:select:0#Longueur:select:1#Couleur:select:9";"3.20m:0#4m:1#Blanc:2";;"TA_193204";;;;;;0;;0;0;;0;;0;0;0;0;
10;"Hauteur:select:0#Longueur:select:1#Couleur:select:10";"3.20m:0#5m:1#Blanc:2";;"TA_193205";;;;;;0;;0;0;;0;;0;0;0;0;
10;"Hauteur:select:0#Longueur:select:1#Couleur:select:10";"3.20m:0#6m:1#Blanc:2";;"TA_193206";;;;;;0;;0;0;;0;;0;0;0;0;
10;"Hauteur:select:0#Longueur:select:1#Couleur:select:11";"3.20m:0#8m:1#Blanc:2";;"TA_193208";;;;;;0;;0;0;;0;;0;0;0;0;
10;"Hauteur:select:0#Longueur:select:1#Couleur:select:11";"3.20m:0#9m:1#Blanc:2";;"TA_193209";;;;;;0;;0;0;;0;;0;0;0;0;
10;"Hauteur:select:0#Longueur:select:1#Couleur:select:12";"3.20m:0#10m:1#Blanc:2";;"TA_193210";;;;;;0;;0;0;;0;;0;0;0;0;
10;"Hauteur:select:0#Longueur:select:1#Couleur:select:12";"3.20m:0#12m:1#Blanc:2";;"TA_193212";;;;;;0;;0;0;;0;;0;0;0;0;
10;"Hauteur:select:0#Longueur:select:1#Couleur:select:13";"3.20m:0#15m:1#Blanc:2";;"TA_193215";;;;;;0;;0;0;;0;;0;0;0;0;
10;"Hauteur:select:0#Longueur:select:1#Couleur:select:13";"3.20m:0#18m:1#Blanc:2";;"TA_193218";;;;;;0;;0;0;;0;;0;0;0;0;
10;"Hauteur:select:0#Longueur:select:1#Couleur:select:14";"3.20m:0#20m:1#Blanc:2";;"TA_193220";;;;;;0;;0;0;;0;;0;0;0;0;
10;"Hauteur:select:0#Longueur:select:1#Couleur:select:14";"3.20m:0#25m:1#Blanc:2";;"TA_193225";;;;;;0;;0;0;;0;;0;0;0;0;
10;"Hauteur:select:0#Longueur:select:1#Couleur:select:2";"3.00m:0#xm:1#Vert:2";;"TA_893000-V";;;;;;0;;0;0;;0;;0;0;0;0;
10;"Hauteur:select:0#Longueur:select:1#Couleur:select:2";"3.00m:0#3m:1#Vert:2";;"TA_893003-V";;;;;;0;;0;0;;0;;0;0;0;0;
10;"Hauteur:select:0#Longueur:select:1#Couleur:select:3";"3.00m:0#4m:1#Vert:2";;"TA_893004-V";;;;;;0;;0;0;;0;;0;0;0;0;
10;"Hauteur:select:0#Longueur:select:1#Couleur:select:3";"3.00m:0#5m:1#Vert:2";;"TA_893005-V";;;;;;0;;0;0;;0;;0;0;0;0;
10;"Hauteur:select:0#Longueur:select:1#Couleur:select:4";"3.00m:0#6m:1#Vert:2";;"TA_893006-V";;;;;;0;;0;0;;0;;0;0;0;0;
